Time,From Peer,To Peer,Event Type
0,SEED-1,PEER-1,Unchoke
0,SEED-1,PEER-1,Unchoke
0,SEED-1,PEER-2,Unchoke
0,SEED-1,PEER-2,Unchoke
0,SEED-1,PEER-3,Unchoke
0,SEED-1,PEER-3,Unchoke
0,SEED-1,PEER-4,Choke
0,SEED-1,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
1,PEER-2,SEED-1,Choke
1,PEER-2,PEER-1,Choke
1,PEER-2,PEER-3,Choke
1,PEER-2,PEER-4,Choke
1,PEER-2,PEER-5,Choke
1,PEER-3,SEED-1,Choke
1,PEER-3,PEER-1,Choke
1,PEER-3,PEER-2,Choke
1,PEER-3,PEER-4,Choke
1,PEER-3,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
1,PEER-2,SEED-1,Choke
1,PEER-2,PEER-1,Choke
1,PEER-2,PEER-3,Choke
1,PEER-2,PEER-4,Choke
1,PEER-2,PEER-5,Choke
1,PEER-3,SEED-1,Choke
1,PEER-3,PEER-1,Choke
1,PEER-3,PEER-2,Choke
1,PEER-3,PEER-4,Choke
1,PEER-3,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
1,PEER-2,SEED-1,Choke
1,PEER-2,PEER-1,Choke
1,PEER-2,PEER-3,Choke
1,PEER-2,PEER-4,Choke
1,PEER-2,PEER-5,Choke
1,PEER-3,SEED-1,Choke
1,PEER-3,PEER-1,Choke
1,PEER-3,PEER-2,Choke
1,PEER-3,PEER-4,Choke
1,PEER-3,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
1,PEER-2,SEED-1,Choke
1,PEER-2,PEER-1,Choke
1,PEER-2,PEER-3,Choke
1,PEER-2,PEER-4,Choke
1,PEER-2,PEER-5,Choke
1,PEER-3,SEED-1,Choke
1,PEER-3,PEER-1,Choke
1,PEER-3,PEER-2,Choke
1,PEER-3,PEER-4,Choke
1,PEER-3,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
1,PEER-2,SEED-1,Choke
1,PEER-2,PEER-1,Choke
1,PEER-2,PEER-3,Choke
1,PEER-2,PEER-4,Choke
1,PEER-2,PEER-5,Choke
1,PEER-3,SEED-1,Choke
1,PEER-3,PEER-1,Choke
1,PEER-3,PEER-2,Choke
1,PEER-3,PEER-4,Choke
1,PEER-3,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
1,PEER-2,SEED-1,Choke
1,PEER-2,PEER-1,Choke
1,PEER-2,PEER-3,Choke
1,PEER-2,PEER-4,Choke
1,PEER-2,PEER-5,Choke
1,PEER-3,SEED-1,Choke
1,PEER-3,PEER-1,Choke
1,PEER-3,PEER-2,Choke
1,PEER-3,PEER-4,Choke
1,PEER-3,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
1,PEER-2,SEED-1,Choke
1,PEER-2,PEER-1,Choke
1,PEER-2,PEER-3,Choke
1,PEER-2,PEER-4,Choke
1,PEER-2,PEER-5,Choke
1,PEER-3,SEED-1,Choke
1,PEER-3,PEER-1,Choke
1,PEER-3,PEER-2,Choke
1,PEER-3,PEER-4,Choke
1,PEER-3,PEER-5,Choke
1,SEED-1,PEER-1,Unchoke
1,SEED-1,PEER-2,Unchoke
1,SEED-1,PEER-3,Unchoke
1,SEED-1,PEER-4,Choke
1,SEED-1,PEER-5,Choke
1,PEER-1,SEED-1,Choke
1,PEER-1,PEER-2,Choke
1,PEER-1,PEER-3,Choke
1,PEER-1,PEER-4,Choke
1,PEER-1,PEER-5,Choke
