Time,From Peer,To Peer,Event Type
0,PEER-1,SEED-1,Interested
0,PEER-1,SEED-1,Interested
0,PEER-2,SEED-1,Interested
0,PEER-2,SEED-1,Interested
0,PEER-3,SEED-1,Interested
0,PEER-3,SEED-1,Interested
0,PEER-4,SEED-1,Interested
0,PEER-4,SEED-1,Interested
0,PEER-5,SEED-1,Interested
0,PEER-5,SEED-1,Interested
0,PEER-1,PEER-2,Interested
0,PEER-1,PEER-3,Interested
0,PEER-2,PEER-1,Interested
0,PEER-2,PEER-3,Interested
0,PEER-3,PEER-1,Interested
0,PEER-3,PEER-2,Interested
0,PEER-4,PEER-1,Interested
0,PEER-4,PEER-2,Interested
0,PEER-4,PEER-3,Interested
0,PEER-5,PEER-1,Interested
0,PEER-5,PEER-2,Interested
0,PEER-5,PEER-3,Interested
20,PEER-4,PEER-5,Interested
50,PEER-5,PEER-4,Interested
